YM,Product,Qty
2023-05,X12_1,941
2023-04,X12_1,2245
2023-03,X12_1,1641
2023-02,X12_1,1350
2023-01,X12_1,2525
2022-12,X12_1,1274
2022-11,X12_1,1666
2022-10,X12_1,1510
2022-09,X12_1,1001
2022-08,X12_1,1842
2022-07,X12_1,1106
2022-06,X12_1,4684
2022-05,X12_1,1044
2022-04,X12_1,4039
2022-03,X12_1,1634
2022-02,X12_1,1108
2022-01,X12_1,4281
2021-12,X12_1,1444
2021-11,X12_1,2168
2021-10,X12_1,3382
2021-09,X12_1,3013
2021-08,X12_1,5496
2021-07,X12_1,717
2021-06,X12_1,1808
2021-05,X12_1,4744
2021-04,X12_1,3582
2021-03,X12_1,2349
2021-02,X12_1,462
2021-01,X12_1,1933
2020-12,X12_1,1756
2020-11,X12_1,1362
2020-10,X12_1,490
2020-09,X12_1,5411
2020-08,X12_1,866
2020-07,X12_1,1628
2020-06,X12_1,1390
2020-05,X12_1,1169
2020-04,X12_1,907
2020-03,X12_1,1305
2020-02,X12_1,508
2020-01,X12_1,1351
2019-12,X12_1,754
2019-11,X12_1,1527
2019-10,X12_1,2193
2019-09,X12_1,224
2019-08,X12_1,1726
2019-07,X12_1,1518
2019-06,X12_1,2364
2019-05,X12_1,1792
2019-04,X12_1,2460
2019-03,X12_1,3789
2019-02,X12_1,1117
2019-01,X12_1,2232
2018-12,X12_1,340
2018-11,X12_1,953
2018-10,X12_1,803
2018-09,X12_1,677
2018-08,X12_1,1962
2018-07,X12_1,2025
2018-06,X12_1,2832
2018-05,X12_1,2599
2018-04,X12_1,3400
2018-03,X12_1,796
2018-02,X12_1,2443
2018-01,X12_1,1043
2017-12,X12_1,1466
2017-11,X12_1,1485
2017-10,X12_1,1145
2017-09,X12_1,1237
2017-08,X12_1,2425
2017-07,X12_1,1089
2017-06,X12_1,1827
2017-05,X12_1,1242
2017-04,X12_1,1175
2017-03,X12_1,314
2017-02,X12_1,1349
2017-01,X12_1,3461
2016-12,X12_1,1903
2016-11,X12_1,818
2016-10,X12_1,196
2016-09,X12_1,4420
2016-08,X12_1,1529
2016-07,X12_1,1932
2016-06,X12_1,1858
2016-05,X12_1,1533
2016-04,X12_1,502
2016-03,X12_1,1129
2016-02,X12_1,830
2016-01,X12_1,1326
2015-12,X12_1,1849
2015-11,X12_1,511
2015-10,X12_1,649
2015-09,X12_1,416
2015-08,X12_1,1257
2015-07,X12_1,1716
2015-06,X12_1,151
2015-05,X12_1,182
2015-04,X12_1,1455
2015-03,X12_1,19
2015-02,X12_1,212
2015-01,X12_1,1122
